ID,性別,高齢者フラグ,既婚,扶養家族,在職期間,電話サービス,複数回線,インターネットサービス,セキュリティサービス,バックアップサービス,機器予防サービス,テクニカルサポート,ストリーミングサービス（TV),ストリーミングサービス（映画),契約期間,電子請求書,支払い方法,月額支払額,通算支払額,解約
7590-VHVEG,女性,非高齢者,既婚,なし,1,なし,電話契約なし,DSL,なし,あり,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,29.85,29.85,No
5575-GNVDE,男性,非高齢者,未婚,なし,34,あり,1回線,DSL,あり,なし,あり,なし,なし,なし,1年更新,紙請求書,郵送小切手,56.95,1889.5,No
3668-QPYBK,男性,非高齢者,未婚,なし,2,あり,1回線,DSL,あり,あり,なし,なし,なし,なし,毎月更新,電子請求書,郵送小切手,53.85,108.15,Yes
7795-CFOCW,男性,非高齢者,未婚,なし,45,なし,1回線,なし,なし,なし,あり,あり,なし,なし,1年更新,紙請求書,口座引き落とし,42.3,1840.75,No
9237-HQITU,女性,非高齢者,未婚,なし,2,あり,1回線,Fiber optic,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,70.7,151.65,Yes
9305-CDSKC,女性,非高齢者,未婚,なし,8,あり,複数回線,Fiber optic,なし,なし,あり,なし,あり,あり,毎月更新,電子請求書,電子決済,99.65,820.5,Yes
1452-KIOVK,男性,非高齢者,未婚,あり,22,あり,複数回線,Fiber optic,なし,あり,なし,なし,あり,なし,毎月更新,電子請求書,クレジットカード,89.1,1949.4,No
6713-OKOMC,女性,非高齢者,未婚,なし,10,なし,電話契約なし,DSL,あり,なし,なし,なし,なし,なし,毎月更新,紙請求書,郵送小切手,29.75,301.9,No
7892-POOKP,女性,非高齢者,既婚,なし,28,あり,複数回線,Fiber optic,なし,なし,あり,あり,あり,あり,毎月更新,電子請求書,電子決済,104.8,3046.05,Yes
6388-TABGU,男性,非高齢者,未婚,あり,62,あり,1回線,DSL,あり,あり,なし,なし,なし,なし,1年更新,紙請求書,口座引き落とし,56.15,3487.95,No
9763-GRSKD,男性,非高齢者,既婚,あり,13,あり,1回線,DSL,あり,なし,なし,なし,なし,なし,毎月更新,電子請求書,郵送小切手,49.95,587.45,No
7469-LKBCI,男性,非高齢者,未婚,なし,16,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,クレジットカード,18.95,326.8,No
8091-TTVAX,男性,非高齢者,既婚,なし,58,あり,複数回線,Fiber optic,なし,なし,あり,なし,あり,あり,1年更新,紙請求書,クレジットカード,100.35,5681.1,No
0280-XJGEX,男性,非高齢者,未婚,なし,49,あり,複数回線,Fiber optic,なし,あり,あり,なし,あり,あり,毎月更新,電子請求書,口座引き落とし,103.7,5036.3,Yes
5129-JLPIS,男性,非高齢者,未婚,なし,25,あり,1回線,Fiber optic,あり,なし,あり,あり,あり,あり,毎月更新,電子請求書,電子決済,105.5,2686.05,No
3655-SNQYZ,女性,非高齢者,既婚,あり,69,あり,複数回線,Fiber optic,あり,あり,あり,あり,あり,あり,2年更新,紙請求書,クレジットカード,113.25,7895.15,No
8191-XWSZG,女性,非高齢者,未婚,なし,52,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,1年更新,紙請求書,郵送小切手,20.65,1022.95,No
9959-WOFKT,男性,非高齢者,未婚,あり,71,あり,複数回線,Fiber optic,あり,なし,あり,なし,あり,あり,2年更新,紙請求書,口座引き落とし,106.7,7382.25,No
4190-MFLUW,女性,非高齢者,既婚,あり,10,あり,1回線,DSL,なし,なし,あり,あり,なし,なし,毎月更新,紙請求書,クレジットカード,55.2,528.35,Yes
4183-MYFRB,女性,非高齢者,未婚,なし,21,あり,1回線,Fiber optic,なし,あり,あり,なし,なし,あり,毎月更新,電子請求書,電子決済,90.05,1862.9,No
8779-QRDMV,男性,高齢者,未婚,なし,1,なし,電話契約なし,DSL,なし,なし,あり,なし,なし,あり,毎月更新,電子請求書,電子決済,39.65,39.65,Yes
