,ID,性別,年齢区分,婚姻有無,扶養家族,利用月数,電話ｻｰﾋﾞｽ,電話回線数,ｲﾝﾀｰﾈｯﾄｻｰﾋﾞｽ,ｾｷｭﾘﾃｨｻｰﾋﾞｽ,ﾊﾞｯｸｱｯﾌﾟｻｰﾋﾞｽ,機器予防ｻｰﾋﾞｽ,ﾃｸﾆｶﾙｻﾎﾟｰﾄ,ｽﾄﾘｰﾐﾝｸﾞｻｰﾋﾞｽ(TV),ｽﾄﾘｰﾐﾝｸﾞｻｰﾋﾞｽ(映画),契約形態,請求書,支払方法,月額支払額,通算支払額,解約
0,7923-IYJWY,男,高齢者,未婚,なし,67,あり,複数回線,Fiber optic,あり,あり,あり,あり,あり,あり,2年更新,電子請求書,クレジットカード,116.1,7839.85,No
1,2921-XWDJH,女,高齢者,既婚,なし,38,あり,1回線,Fiber optic,あり,なし,なし,なし,なし,あり,毎月更新,電子請求書,電子決済,83.45,3147.15,No
2,9540-JYROE,男,非高齢者,未婚,なし,8,あり,1回線,Fiber optic,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,郵送小切手,70.1,551.35,Yes
3,5546-BYZSM,女,非高齢者,未婚,なし,41,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,電子決済,20.45,775.6,No
4,0621-TWIEM,男,非高齢者,未婚,なし,10,あり,1回線,DSL,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,45.55,402.6,Yes
5,5089-IFSDP,女,非高齢者,既婚,なし,58,あり,複数回線,Fiber optic,あり,あり,あり,なし,あり,あり,2年更新,電子請求書,口座引き落とし,109.45,6144.55,Yes
6,2560-QTSBS,女,非高齢者,既婚,あり,72,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,1年更新,電子請求書,口座引き落とし,23.3,1623.15,No
7,7124-UGSUR,女,高齢者,既婚,なし,61,あり,複数回線,Fiber optic,なし,あり,あり,なし,あり,あり,1年更新,電子請求書,クレジットカード,104.4,6405.0,Yes
8,2931-SVLTV,男,非高齢者,既婚,あり,40,あり,複数回線,Fiber optic,あり,あり,なし,あり,あり,あり,毎月更新,電子請求書,クレジットカード,110.1,4469.1,No
9,1304-NECVQ,女,高齢者,未婚,なし,2,あり,複数回線,Fiber optic,なし,なし,あり,なし,なし,なし,毎月更新,電子請求書,電子決済,78.55,149.55,Yes
10,5821-MMEIL,女,非高齢者,既婚,なし,57,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,口座引き落とし,19.9,1115.6,No
11,9717-IOAAF,男,非高齢者,未婚,あり,27,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,電子請求書,クレジットカード,25.85,788.55,No
12,3814-MLAXC,女,非高齢者,未婚,なし,31,あり,複数回線,Fiber optic,なし,なし,なし,あり,なし,なし,毎月更新,電子請求書,クレジットカード,79.85,2404.15,Yes
13,6919-ELBGL,男,高齢者,既婚,あり,72,あり,複数回線,Fiber optic,あり,あり,あり,あり,あり,あり,2年更新,電子請求書,口座引き落とし,114.95,8196.4,No
14,5092-STPKP,女,非高齢者,未婚,なし,24,あり,1回線,DSL,あり,なし,なし,あり,なし,なし,毎月更新,紙請求書,クレジットカード,56.35,1381.2,No
15,3439-GVUSX,男,非高齢者,未婚,なし,1,なし,電話契約なし,DSL,なし,なし,なし,なし,なし,なし,毎月更新,紙請求書,郵送小切手,24.4,24.4,No
16,7442-YGZFK,男,非高齢者,未婚,なし,1,あり,複数回線,DSL,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,クレジットカード,49.8,49.8,No
17,7615-ESMYF,女,非高齢者,既婚,なし,2,なし,電話契約なし,DSL,なし,なし,なし,なし,あり,あり,毎月更新,紙請求書,電子決済,44.6,97.1,Yes
18,7471-WNSUF,男,非高齢者,既婚,なし,60,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,1年更新,紙請求書,口座引き落とし,24.15,1505.9,No
