,ID,性別,年齢区分,婚姻有無,扶養家族,利用月数,電話ｻｰﾋﾞｽ,電話回線数,ｲﾝﾀｰﾈｯﾄｻｰﾋﾞｽ,ｾｷｭﾘﾃｨｻｰﾋﾞｽ,ﾊﾞｯｸｱｯﾌﾟｻｰﾋﾞｽ,機器予防ｻｰﾋﾞｽ,ﾃｸﾆｶﾙｻﾎﾟｰﾄ,ｽﾄﾘｰﾐﾝｸﾞｻｰﾋﾞｽ(TV),ｽﾄﾘｰﾐﾝｸﾞｻｰﾋﾞｽ(映画),契約形態,請求書,支払方法,月額支払額,通算支払額,解約
0,7923-IYJWY,1,1,0,0,67,1,2,2,1,1,1,1,1,1,2,1,3,116.1,7839.85,0
1,2921-XWDJH,2,1,1,0,38,1,1,2,1,0,0,0,0,1,0,1,0,83.45,3147.15,0
2,9540-JYROE,1,0,0,0,8,1,1,2,0,0,0,0,0,0,0,1,1,70.1,551.35,1
3,5546-BYZSM,2,0,0,0,41,1,1,0,2,2,2,2,2,2,0,0,0,20.45,775.6,0
4,0621-TWIEM,1,0,0,0,10,1,1,1,0,0,0,0,0,0,0,1,0,45.55,402.6,1
5,5089-IFSDP,2,0,1,0,58,1,2,2,1,1,1,0,1,1,2,1,2,109.45,6144.55,1
6,2560-QTSBS,2,0,1,1,72,1,2,0,2,2,2,2,2,2,1,1,2,23.3,1623.15,0
7,7124-UGSUR,2,1,1,0,61,1,2,2,0,1,1,0,1,1,1,1,3,104.4,6405.0,1
8,2931-SVLTV,1,0,1,1,40,1,2,2,1,1,0,1,1,1,0,1,3,110.1,4469.1,0
9,1304-NECVQ,2,1,0,0,2,1,2,2,0,0,1,0,0,0,0,1,0,78.55,149.55,1
10,5821-MMEIL,2,0,1,0,57,1,1,0,2,2,2,2,2,2,2,0,2,19.9,1115.6,0
11,9717-IOAAF,1,0,0,1,27,1,2,0,2,2,2,2,2,2,2,1,3,25.85,788.55,0
12,3814-MLAXC,2,0,0,0,31,1,2,2,0,0,0,1,0,0,0,1,3,79.85,2404.15,1
13,6919-ELBGL,1,1,1,1,72,1,2,2,1,1,1,1,1,1,2,1,2,114.95,8196.4,0
14,5092-STPKP,2,0,0,0,24,1,1,1,1,0,0,1,0,0,0,0,3,56.35,1381.2,0
15,3439-GVUSX,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,24.4,24.4,0
16,7442-YGZFK,1,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,3,49.8,49.8,0
17,7615-ESMYF,2,0,1,0,2,0,0,1,0,0,0,0,1,1,0,0,0,44.6,97.1,1
18,7471-WNSUF,1,0,1,0,60,1,2,0,2,2,2,2,2,2,1,0,2,24.15,1505.9,0
19,4993-JCRGJ,1,0,0,0,26,1,2,2,0,0,1,1,0,0,0,1,1,84.3,2281.6,0
20,7957-RYHQD,2,1,0,0,40,1,1,2,1,1,0,0,0,0,0,1,3,79.2,3233.85,1
21,8445-DNBAE,1,0,0,1,1,1,2,1,0,0,0,0,0,0,0,1,0,50.05,50.05,0
22,0895-UADGO,1,0,0,1,8,0,0,1,1,0,0,1,0,1,2,1,1,44.55,343.45,0
23,0096-BXERS,2,0,1,0,6,1,2,1,0,0,0,0,0,0,0,0,0,50.35,314.55,0
24,2725-IWWBA,1,0,1,1,46,1,1,1,1,0,1,1,0,0,1,0,1,56.9,2560.1,0
25,8378-LKJAF,1,0,1,1,38,1,2,2,0,0,1,0,1,1,0,1,3,101.15,3956.7,0
26,2978-XXSOG,2,0,0,0,22,1,2,1,1,0,0,1,0,0,0,1,1,59.05,1253.5,0
27,5590-ZSKRV,2,0,1,1,8,1,1,1,1,1,0,0,0,0,0,0,1,54.65,482.25,0
28,0369-ZGOVK,2,0,1,1,28,1,1,2,0,0,0,0,0,0,1,1,2,70.4,1992.2,0
29,1735-XMJVH,1,0,1,1,8,1,1,0,2,2,2,2,2,2,0,1,1,19.35,152.6,0
30,4803-AXVYP,2,1,0,0,38,1,2,2,0,0,0,1,1,1,0,1,0,99.55,3734.25,1
31,3312-UUMZW,1,0,1,0,32,1,2,2,0,1,0,0,1,1,0,1,3,98.85,3145.9,0
32,7825-GKXMW,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,45.8,45.8,1
33,6961-VCPMC,1,1,1,0,46,1,1,2,0,0,0,0,0,1,0,1,0,80.4,3605.2,1
34,1744-JHKYS,2,0,1,0,34,1,2,0,2,2,2,2,2,2,0,0,0,24.7,780.2,0
35,1262-OPMFY,2,0,1,0,9,1,1,2,0,0,1,0,0,0,0,1,2,75.75,655.9,1
36,8774-GSBUN,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,0,1,25.4,1797.1,0
37,8707-RMEZH,2,1,1,0,69,1,1,2,1,1,0,0,0,1,1,0,3,87.3,6055.55,0
38,0749-IRGQE,2,1,1,0,13,0,0,1,0,0,0,0,1,1,0,0,0,45.3,528.45,0
39,2924-KHUVI,1,0,1,0,56,1,2,2,1,0,0,0,1,1,1,1,0,100.55,5514.95,0
40,3413-DHLPB,1,0,1,1,60,1,2,2,0,1,0,1,1,1,0,1,2,103.75,5969.95,0
41,4847-TAJYI,2,1,0,0,6,1,1,2,0,0,0,0,1,1,0,1,0,89.35,567.8,0
42,5847-MXBEO,1,0,0,0,22,1,1,0,2,2,2,2,2,2,1,0,1,20.3,475.1,0
43,6791-YBNAK,1,0,1,1,18,0,0,1,0,0,0,0,0,0,0,0,3,25.55,467.85,0
44,2359-QWQUL,2,0,1,0,39,1,1,2,1,0,1,1,1,1,1,1,3,104.7,4134.85,1
45,5747-PMBSQ,1,1,1,0,10,1,1,2,0,1,1,1,1,0,0,1,1,92.5,934.1,1
46,3874-EQOEP,1,0,0,0,7,1,2,2,0,0,0,0,1,1,0,0,1,95.0,655.5,1
47,7217-JYHOQ,1,0,1,1,24,1,1,1,1,1,0,1,0,1,0,1,3,70.3,1706.45,0
48,1166-PQLGG,2,0,1,1,72,1,1,0,2,2,2,2,2,2,2,0,2,19.55,1463.45,0
49,4236-UJPWO,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,24.5,46.4,0
50,7941-RCJOW,1,0,0,0,65,1,1,0,2,2,2,2,2,2,2,1,3,19.55,1218.65,0
51,2330-PQGDQ,1,0,1,1,51,1,2,2,0,1,0,1,0,0,1,0,2,84.2,4299.75,0
52,4567-AKPIA,2,0,1,1,41,1,2,2,0,1,1,1,1,1,1,1,2,109.1,4454.25,0
